model,Average Correct to Incorrect,Average Incorrect to Correct,Average No Change
claude-2.1,9.541784333359585,10.457798259465658,80.00041740717477
claude-3-haiku,7.340563959577374,9.913944701722993,82.74549133869962
claude-3-opus,7.550372060831959,9.735819230289303,82.71380870887873
claude-3-sonnet,6.358159971046481,7.71165023825816,85.93018979069537
gemini-pro-chat,3.409224084601806,6.427335775043865,90.16344014035433
gemini-pro-text,3.4253011463434526,6.507741032693719,90.06695782096283
gpt-3.5-turbo,6.21755912983881,12.460755459766776,81.32168541039441
gpt-4-turbo,4.395687181575436,4.801463147104727,90.80284967131983
palm-2-chat,2.6850512210045987,5.68796260235575,91.62698617663965
palm-2-text,2.2609131701671656,4.965378567265238,92.7737082625676
