task,Average Correct to Incorrect,Average Incorrect to Correct,Average No Change
anli,13.875,18.25,67.875
aqua,12.46719160104987,15.616797900262467,71.91601049868767
math-algebra,6.402695871946082,11.0530749789385,82.54422914911542
math-count-prob,5.033152501506932,6.962025316455696,88.00482218203737
math-geometry,5.454070981210855,7.724425887265136,86.82150313152401
math-int-algebra,4.844961240310077,5.786267995570322,89.3687707641196
math-number,8.08641975308642,10.061728395061728,81.85185185185185
math-pre-algebra,5.993111366245694,10.654420206659012,83.35246842709529
math-pre-calc,4.4322344322344325,5.75091575091575,89.81684981684982
race-h,8.576329331046313,15.55746140651801,75.86620926243567
race-m,9.860724233983287,18.83008356545961,71.30919220055709
strategyqa,4.847161572052402,12.5764192139738,82.5764192139738
triviaqa,3.0,3.5999999999999996,93.4
winogrande,8.563535911602209,21.033938437253354,70.40252565114443
