task,Average Correct to Incorrect,Average Incorrect to Correct,Average No Change
anli,5.283333333333333,8.033333333333333,86.68333333333334
aqua,8.562992125984252,17.716535433070867,73.72047244094489
gsm8k,7.14177407126611,15.299469294920394,77.55875663381349
halueval-dialogue,2.8675,4.11,93.0225
halueval-general,1.0761038384734858,1.7121514680866798,97.21174469343983
halueval-qa,3.561666666666667,5.895,90.54333333333334
halueval-summarization,5.124,6.93,87.946
math-algebra,4.566133108677337,10.6318449873631,84.80202190395956
math-count-prob,5.09845288326301,7.383966244725738,87.51758087201125
math-geometry,3.601252609603341,6.054279749478079,90.34446764091858
math-int-algebra,5.112587670727206,6.4968623108158,88.390550018457
math-number,5.987654320987654,11.728395061728394,82.28395061728395
math-pre-algebra,3.9724454649827785,9.299655568312284,86.72789896670494
math-pre-calc,5.0366300366300365,6.364468864468865,88.5989010989011
race-h,5.680797190231153,7.5063301478395825,86.81287266192928
race-m,3.064066852367688,4.538068709377902,92.39786443825442
strategyqa,4.337700145560407,7.510917030567686,88.15138282387191
triviaqa,1.7999999999999998,4.550000000000001,93.65
winogrande,3.8279400157853196,9.471191791633782,86.7008681925809
